created_at,tweet_id,tweet,label,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at,language,emoji,entity,hashtags,filter_char,mul_spa
15-10-2020 00:00,1.32E+18,#Trump #PresidentTrump #Trump2020LandslideVictory #Trump2020 #MAGA #KAG #4MoreYears #America #AmericaFirst #AllLivesMatter #Winning #Vote #VoteInPerson #VoteTrump #VotePresidentTrump https://t.co/TzXBKOvgNs,trump2020,3,5,Twitter for Android,1.24E+18,Ron Burgundy,Anchorman_USA,"I'm kind of a Big Deal, People know me! I drive a 1970 Pontiac Catalina. ❤ my Dog Baxter, Scotch, Mahogany & Pool Parties.
Stay Classy #America 🇺🇸 #MAGA #KAG",26-03-2020 23:14,496,"San Diego, CA",32.7174209,-117.1627714,San Diego,United States of America,North America,California,CA,00:04.5,en,#Trump #PresidentTrump #Trump2020LandslideVictory #Trump2020 #MAGA #KAG #4MoreYears #America #AmericaFirst #AllLivesMatter #Winning #Vote #VoteInPerson #VoteTrump #VotePresidentTrump https://t.co/TzXBKOvgNs,trump presidenttrump trump2020landslidevictory trump2020 maga kag 4moreyears america americafirst alllivesmatter winning vote voteinperson votetrump votepresidenttrump ,trump presidenttrump trump2020landslidevictory trump2020 maga kag 4moreyears america americafirst alllivesmatter winning vote voteinperson votetrump votepresidenttrump,trump presidenttrump trump2020landslidevictory trump2020 maga kag 4moreyears america americafirst alllivesmatter winning vote voteinperson votetrump votepresidenttrump,trump presidenttrump trump2020landslidevictory trump2020 maga kag 4moreyears america americafirst alllivesmatter winning vote voteinperson votetrump votepresidenttrump
15-10-2020 00:00,1.32E+18,"@Susan_Hutch @JoeBiden #Ukraine @RealDonaldTrump impeachment #FactCheck ‘how’ often #Trump &amp; @GOP lied!!!

https://t.co/OFbVPBQs1s",corruption,2,0,Twitter Web App,343956175,Sebastian White,SebWrites,"Tortured, literary genius, well probably the first. Figured if I concentrate on the former, that the latter is 'bound' to occur... sooner or later!",28-07-2011 10:07,2755,Edinburgh ~ Heart of Scotland!,55.9533456,-3.1883749,City of Edinburgh,United Kingdom,Europe,Scotland,SCT,00:05.2,en,"@Susan_Hutch @JoeBiden #Ukraine @RealDonaldTrump impeachment #FactCheck ‘how’ often #Trump &amp; @GOP lied!!!

https://t.co/OFbVPBQs1s",  ukraine  impeachment factcheck how often trump amp  lied  ,ukraine  impeachment factcheck how often trump amp  lied,ukraine  impeachment factcheck how often trump amp  lied,ukraine impeachment factcheck how often trump amp lied
15-10-2020 00:00,1.32E+18,►► Tell Politicians to STICK IT with this FREE Item! ►► https://t.co/sua2FPNJTS ►► #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ►► @FreebieDepot https://t.co/QTRW3eMtd0,biden,0,0,Freebie-Depot,103083214,🆓 Freebie Depot,FreebieDepot,"Free Stuff - No Fluff!  Get all kinds of FREE Stuff, FREE Samples, FREE Calendars, FREE Coupons, FREE, FREE, FREE! #freebies #freestuff #free #frugal #samples",08-01-2010 20:44,6402,USA - Land of the FREE!,,,,,,,,00:04.9,en,►► Tell Politicians to STICK IT with this FREE Item! ►► https://t.co/sua2FPNJTS ►► #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ►► @FreebieDepot https://t.co/QTRW3eMtd0, tell politicians to stick it with this free item    2020 biden deomocrat election politician politics president republican trump vpdebate   ,tell politicians to stick it with this free item    2020 biden deomocrat election politician politics president republican trump vpdebate,tell politicians to stick it with this free item    2020 biden deomocrat election politician politics president republican trump vpdebate,tell politicians to stick it with this free item 2020 biden deomocrat election politician politics president republican trump vpdebate
15-10-2020 00:00,1.32E+18,"@meiselasb I wonder which drugs #Trump takes?🤪

That's not only masses of burgers🍔🍔🍔

Maybe he's still on his #dexamethasone high🎃

Currently high.

But in November at the latest he'll be low😩
#TrumpCovid19
#TrumpIsALaughingStock
#TrumpIsALoser
#VoteHimOut

#VoteBlueToEndThisNightmare https://t.co/Xyk2GuJM8Y",trump,3,1,Twitter Web App,8.32E+17,Mark Rager,Hervorrager,"Diploma-Biologist 🤓🧠🦈🏡
Neurobiology, Molecular Biology, Human Biology
Medicine, Health, ME/CFS
Human Rights
Satire😜

⚠️Tweets can contain irony & sarcasm⚠️",16-02-2017 23:54,828,Germany,51.0834196,10.4234469,,Germany,Europe,,,00:06.0,en,"@meiselasb I wonder which drugs #Trump takes?

That's not only masses of burgers

Maybe he's still on his #dexamethasone high

Currently high.

But in November at the latest he'll be low
#TrumpCovid19
#TrumpIsALaughingStock
#TrumpIsALoser
#VoteHimOut

#VoteBlueToEndThisNightmare https://t.co/Xyk2GuJM8Y", i wonder which drugs trump takes  thats not only masses of burgers  maybe hes still on his dexamethasone high  currently high  but in november at the latest hell be low trumpcovid19 trumpisalaughingstock trumpisaloser votehimout  votebluetoendthisnightmare ,i wonder which drugs trump takes  thats not only masses of burgers  maybe hes still on his dexamethasone high  currently high  but in november at the latest hell be low trumpcovid19 trumpisalaughingstock trumpisaloser votehimout  votebluetoendthisnightmare,i wonder which drugs trump takes  thats not only masses of burgers  maybe hes still on his dexamethasone high  currently high  but in november at the latest hell be low trumpcovid19 trumpisalaughingstock trumpisaloser votehimout  votebluetoendthisnightmare,i wonder which drugs trump takes thats not only masses of burgers maybe hes still on his dexamethasone high currently high but in november at the latest hell be low trumpcovid19 trumpisalaughingstock trumpisaloser votehimout votebluetoendthisnightmare
15-10-2020 00:00,1.32E+18,"#Ukraine @RealDonaldTrump impeachment #FactCheck ‘how’ often #Trump &amp; @GOP lied!!!

https://t.co/OFbVPBQs1s https://t.co/1n6bTkYOIW",corruption,0,2,Twitter Web App,343956175,Sebastian White,SebWrites,"Tortured, literary genius, well probably the first. Figured if I concentrate on the former, that the latter is 'bound' to occur... sooner or later!",28-07-2011 10:07,2755,Edinburgh ~ Heart of Scotland!,55.9533456,-3.1883749,City of Edinburgh,United Kingdom,Europe,Scotland,SCT,00:05.6,en,"#Ukraine @RealDonaldTrump impeachment #FactCheck ‘how’ often #Trump &amp; @GOP lied!!!

https://t.co/OFbVPBQs1s https://t.co/1n6bTkYOIW",ukraine  impeachment factcheck how often trump amp  lied   ,ukraine  impeachment factcheck how often trump amp  lied,ukraine  impeachment factcheck how often trump amp  lied,ukraine impeachment factcheck how often trump amp lied
15-10-2020 00:00,1.32E+18,"Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick who you think will become President, who will win the Swing States, the popular vote, and more!
🇺🇲https://t.co/W6FKnaXVMT
#MAGA2020 #Trump #Biden #Politics #USElection2020 https://t.co/NwNfiZsy53",election2020,0,0,Hootsuite Inc.,21932049,OfficePools.com,officepools_com,Visit https://t.co/CdmWfqRMIS to play now! #fantasyhockey #fantasysports #hockeypool #footballpool #NHLpool #golfpool,25-02-2009 22:52,967,,,,,,,,,00:06.3,en,"Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick who you think will become President, who will win the Swing States, the popular vote, and more!
https://t.co/W6FKnaXVMT
#MAGA2020 #Trump #Biden #Politics #USElection2020 https://t.co/NwNfiZsy53",now open create a free us election pickem pool add some excitement to the potential chaos pick who you think will become president who will win the swing states the popular vote and more  maga2020 trump biden politics uselection2020 ,now open create a free us election pickem pool add some excitement to the potential chaos pick who you think will become president who will win the swing states the popular vote and more  maga2020 trump biden politics uselection2020,now open create a free us election pickem pool add some excitement to the potential chaos pick who you think will become president who will win the swing states the popular vote and more  maga2020 trump biden politics uselection2020,now open create a free us election pickem pool add some excitement to the potential chaos pick who you think will become president who will win the swing states the popular vote and more maga2020 trump biden politics uselection2020
15-10-2020 00:01,1.32E+18,"@cnnbrk #Trump owes #RicardoAguirre $730,000 to pay for the mass murder of his family. #TrumpLiedPeopleDied @FauciFan",trump,3,2,Twitter for iPhone,194650429,MoClarker,MoClarker,Media Maven/Scientist/Fan O Fauci,24-09-2010 17:15,101,Santa Monica Beach,47.0052108,-88.9629096,,United States of America,North America,Michigan,MI,00:07.1,en,"@cnnbrk #Trump owes #RicardoAguirre $730,000 to pay for the mass murder of his family. #TrumpLiedPeopleDied @FauciFan", trump owes ricardoaguirre 730000 to pay for the mass murder of his family trumpliedpeopledied ,trump owes ricardoaguirre 730000 to pay for the mass murder of his family trumpliedpeopledied,trump owes ricardoaguirre 730000 to pay for the mass murder of his family trumpliedpeopledied,trump owes ricardoaguirre 730000 to pay for the mass murder of his family trumpliedpeopledied
15-10-2020 00:01,1.32E+18,#Democrats have spent more #tax #payer #paid #time &amp; #money on #chasing &amp; #attacking #TRUMP #not #doing #their #jobs #serving the #public as #elected #USA #NO GOOD REASON'S NOT TO #ECONOMICALLY #BAIL #PEOPLE OUT &amp; #PROTECT THEM TOO AS YOU TOOK #OATH TOO. #USA https://t.co/bRMhvloyKt,trump,0,0,Twitter Web App,37738708,E Turner,Webinfotech,"Christian Veteran - My Oath to my Country, Flag, and Constitution never discharged.🇺🇸♠️🗽⚖️",04-05-2009 19:48,275,United States,39.7837304,-100.4458825,,United States,North America,,,00:07.8,en,#Democrats have spent more #tax #payer #paid #time &amp; #money on #chasing &amp; #attacking #TRUMP #not #doing #their #jobs #serving the #public as #elected #USA #NO GOOD REASON'S NOT TO #ECONOMICALLY #BAIL #PEOPLE OUT &amp; #PROTECT THEM TOO AS YOU TOOK #OATH TOO. #USA https://t.co/bRMhvloyKt,democrats have spent more tax payer paid time amp money on chasing amp attacking trump not doing their jobs serving the public as elected usa no good reasons not to economically bail people out amp protect them too as you took oath too usa ,democrats have spent more tax payer paid time amp money on chasing amp attacking trump not doing their jobs serving the public as elected usa no good reasons not to economically bail people out amp protect them too as you took oath too usa,democrats have spent more tax payer paid time amp money on chasing amp attacking trump not doing their jobs serving the public as elected usa no good reasons not to economically bail people out amp protect them too as you took oath too usa,democrats have spent more tax payer paid time amp money on chasing amp attacking trump not doing their jobs serving the public as elected usa no good reasons not to economically bail people out amp protect them too as you took oath too usa
15-10-2020 00:01,1.32E+18,"When you know you can put people in their graves and get away with it, you go to #Trump  rallies, mask-less. Like canned sardines.

#COVID19 #SuperSpreader #TrumpRally
#TrumpRallyDesMoines #pandemic
#TrumpCovid19 https://t.co/yO7ZP9HHFo",covid19,0,0,Twitter for Android,412036425,It Is Merely Me,andThisAndThat,"If you can't feed 100 people then feed just one.      

#SaveTheEarth #ClimateChange #ClimateAction
🇱🇷⚖🗽🌏
#Resist #VoteBlue",14-11-2011 05:49,5974,Mother Earth,,,,,,,,00:07.5,en,"When you know you can put people in their graves and get away with it, you go to #Trump  rallies, mask-less. Like canned sardines.

#COVID19 #SuperSpreader #TrumpRally
#TrumpRallyDesMoines #pandemic
#TrumpCovid19 https://t.co/yO7ZP9HHFo",when you know you can put people in their graves and get away with it you go to trump  rallies maskless like canned sardines  covid19 superspreader trumprally trumprallydesmoines pandemic trumpcovid19 ,when you know you can put people in their graves and get away with it you go to trump  rallies maskless like canned sardines  covid19 superspreader trumprally trumprallydesmoines pandemic trumpcovid19,when you know you can put people in their graves and get away with it you go to trump  rallies maskless like canned sardines  covid19 superspreader trumprally trumprallydesmoines pandemic trumpcovid19,when you know you can put people in their graves and get away with it you go to trump rallies maskless like canned sardines covid19 superspreader trumprally trumprallydesmoines pandemic trumpcovid19
15-10-2020 00:01,1.32E+18,"#Trump: Nobody likes to tell you this, but some of the farmers were doing better the way I was doing it than they were by working their asses off.

And that check? It's totally in the mail, right Don?",trump,1,1,Twitter Web App,8436472,snarke,snarke,"Will mock for food! Freelance writer, blogger, commentator. Civics nerd. She/Her",26-08-2007 05:56,1185,Portland,45.5202471,-122.6741949,Portland,United States of America,North America,Oregon,OR,00:08.2,en,"#Trump: Nobody likes to tell you this, but some of the farmers were doing better the way I was doing it than they were by working their asses off.

And that check? It's totally in the mail, right Don?",trump nobody likes to tell you this but some of the farmers were doing better the way i was doing it than they were by working their asses off  and that check its totally in the mail right don,trump nobody likes to tell you this but some of the farmers were doing better the way i was doing it than they were by working their asses off  and that check its totally in the mail right don,trump nobody likes to tell you this but some of the farmers were doing better the way i was doing it than they were by working their asses off  and that check its totally in the mail right don,trump nobody likes to tell you this but some of the farmers were doing better the way i was doing it than they were by working their asses off and that check its totally in the mail right don
15-10-2020 00:01,1.32E+18,@tedcruz @cc125 #Trump2020 #BLM #obama #VoteRed #BidenHarris2020 #Blacklivesmatter #mikepence #Debates2020 #KamalaHarris #KamalaHarrisVP #biden #riots #hunterbidden #AOC #Trump #IlhanOmar #gavinnewsom #tedwheeler #GretchenWhitmer &gt;&gt; This is only the begining its going to get worse! https://t.co/jcccPhWtgY,trump2020,1,0,Twitter Web App,1.31E+18,Infamous One,InfamousOne13,"""The company you keep can have a major impact on your life."" 
 - Semper Fi -",27-09-2020 02:14,361,,,,,,,,,00:08.6,en,@tedcruz @cc125 #Trump2020 #BLM #obama #VoteRed #BidenHarris2020 #Blacklivesmatter #mikepence #Debates2020 #KamalaHarris #KamalaHarrisVP #biden #riots #hunterbidden #AOC #Trump #IlhanOmar #gavinnewsom #tedwheeler #GretchenWhitmer &gt;&gt; This is only the begining its going to get worse! https://t.co/jcccPhWtgY,  trump2020 blm obama votered bidenharris2020 blacklivesmatter mikepence debates2020 kamalaharris kamalaharrisvp biden riots hunterbidden aoc trump ilhanomar gavinnewsom tedwheeler gretchenwhitmer gtgt this is only the begining its going to get worse ,trump2020 blm obama votered bidenharris2020 blacklivesmatter mikepence debates2020 kamalaharris kamalaharrisvp biden riots hunterbidden aoc trump ilhanomar gavinnewsom tedwheeler gretchenwhitmer gtgt this is only the begining its going to get worse,trump2020 blm obama votered bidenharris2020 blacklivesmatter mikepence debates2020 kamalaharris kamalaharrisvp biden riots hunterbidden aoc trump ilhanomar gavinnewsom tedwheeler gretchenwhitmer gtgt this is only the begining its going to get worse,trump2020 blm obama votered bidenharris2020 blacklivesmatter mikepence debates2020 kamalaharris kamalaharrisvp biden riots hunterbidden aoc trump ilhanomar gavinnewsom tedwheeler gretchenwhitmer gtgt this is only the begining its going to get worse
15-10-2020 00:01,1.32E+18,"@MarcInPhoenix @CIAspygirl #Trump
#Covid19
#TrumpLiesAmericansDie

Immunologist Florian Kramme, “#herdimmunity through natural infections is not a strategy, but an indication for the government’s malfunction to control a break out and to pay for this with lost lives.” 

https://t.co/ddEFm2Lqvj",herdimmunity,1,1,Twitter Web App,240532719,William Jones 😷🌊 🇦🇺🐸,william7424,"Retired International Banker(Don't hold this against me, I cleaned up messes LOL), Avid GeoPolitical and National Political observer",20-01-2011 04:11,1776,Australia,-24.7761086,134.755,,Australia,Oceania,,,00:09.0,en,"@MarcInPhoenix @CIAspygirl #Trump
#Covid19
#TrumpLiesAmericansDie

Immunologist Florian Kramme, “#herdimmunity through natural infections is not a strategy, but an indication for the government’s malfunction to control a break out and to pay for this with lost lives.” 

https://t.co/ddEFm2Lqvj",  trump covid19 trumpliesamericansdie  immunologist florian kramme herdimmunity through natural infections is not a strategy but an indication for the governments malfunction to control a break out and to pay for this with lost lives   ,trump covid19 trumpliesamericansdie  immunologist florian kramme herdimmunity through natural infections is not a strategy but an indication for the governments malfunction to control a break out and to pay for this with lost lives,trump covid19 trumpliesamericansdie  immunologist florian kramme herdimmunity through natural infections is not a strategy but an indication for the governments malfunction to control a break out and to pay for this with lost lives,trump covid19 trumpliesamericansdie immunologist florian kramme herdimmunity through natural infections is not a strategy but an indication for the governments malfunction to control a break out and to pay for this with lost lives
15-10-2020 00:01,1.32E+18,"@RudyGiuliani @Twitter @PressSec You right @RudyGiuliani Censorship should be Condemned 
Cc Trump and the GOP

Not the American way.

Now let's redo Trump's Impeachment this time without the CENSORSHIP...
#AmericaFirst #BidenCares #DonaldTrump #BidenWillCrushCovid #BidenHarris2020ToSaveAmerica https://t.co/MrOa2Cgsd0",twitter,0,0,Twitter for Android,1010405455,David Goldstein,Amambo12Carlos,"We are part of a Symbiotic relationship with someone wich disguises as a terrestrial so as not to ALARM us. 
THE KINGDOM OF GOD IS an advanced CIVILIZATION...",14-12-2012 04:32,2002,"Florida, USA",27.7567667,-81.4639835,,United States of America,North America,Florida,FL,00:09.3,en,"@RudyGiuliani @Twitter @PressSec You right @RudyGiuliani Censorship should be Condemned 
Cc Trump and the GOP

Not the American way.

Now let's redo Trump's Impeachment this time without the CENSORSHIP...
#AmericaFirst #BidenCares #DonaldTrump #BidenWillCrushCovid #BidenHarris2020ToSaveAmerica https://t.co/MrOa2Cgsd0",   you right  censorship should be condemned  cc trump and the gop  not the american way  now lets redo trumps impeachment this time without the censorship americafirst bidencares donaldtrump bidenwillcrushcovid bidenharris2020tosaveamerica ,you right  censorship should be condemned  cc trump and the gop  not the american way  now lets redo trumps impeachment this time without the censorship americafirst bidencares donaldtrump bidenwillcrushcovid bidenharris2020tosaveamerica,you right  censorship should be condemned  cc trump and the gop  not the american way  now lets redo trumps impeachment this time without the censorship americafirst bidencares donaldtrump bidenwillcrushcovid bidenharris2020tosaveamerica,you right censorship should be condemned cc trump and the gop not the american way now lets redo trumps impeachment this time without the censorship americafirst bidencares donaldtrump bidenwillcrushcovid bidenharris2020tosaveamerica
